customer,state,customer_lifetime_value,response,coverage,education,effective_to_date,employmentstatus,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,vehicle_type,month
KR82385,California,5454,No,Basic,Master,2011-01-26,Employed,M,66334,Suburban,Single,69,25,25,0,4,Personal Auto,Personal L3,Offer4,Call Center,331,Two-Door Car,Medsize,A,1
TL59568,Arizona,12836,No,Premium,High School or Below,2011-02-28,Unemployed,M,0,Suburban,Married,116,6,28,0,2,Personal Auto,Personal L2,Offer3,Agent,835,Two-Door Car,Medsize,A,2
CW49887,California,4626,Yes,Basic,Master,2011-01-16,Employed,F,79487,Suburban,Divorced,114,20,87,0,1,Special Auto,Special L1,Offer2,Branch,547,SUV,Medsize,A,1
FH51383,California,5326,No,Basic,High School or Below,2011-02-07,Employed,F,76717,Urban,Married,66,26,10,0,6,Personal Auto,Personal L3,Offer4,Call Center,300,Two-Door Car,Large,A,2
TR26615,Oregon,2497,No,Basic,High School or Below,2011-01-17,Unemployed,M,0,Urban,Married,69,5,74,0,1,Corporate Auto,Corporate L2,Offer2,Branch,272,Two-Door Car,Medsize,A,1
ZC97968,California,2736,No,Basic,College,2011-02-14,Disabled,M,17533,Suburban,Married,73,10,1,0,1,Personal Auto,Personal L3,Offer1,Agent,350,Two-Door Car,Medsize,A,2
NJ54277,California,3746,Yes,Extended,College,2011-02-26,Employed,F,41479,Rural,Married,94,14,38,1,1,Personal Auto,Personal L2,Offer2,Call Center,19,Two-Door Car,Large,A,2
OM80593,California,7247,No,Basic,Bachelor,2011-02-23,Unemployed,F,0,Suburban,Single,104,9,58,0,7,Personal Auto,Personal L3,Offer1,Call Center,499,SUV,Medsize,A,2
RL65736,Oregon,6274,No,Extended,High School or Below,2011-02-14,Medical Leave,F,13662,Suburban,Single,85,29,37,0,3,Personal Auto,Personal L1,Offer1,Agent,408,Four-Door Car,Small,A,2
EQ62488,Oregon,15031,No,Basic,College,2011-01-15,Employed,F,59456,Suburban,Married,189,11,7,0,8,Personal Auto,Personal L3,Offer2,Call Center,907,Luxury,Large,A,1
NQ71171,California,5107,No,Basic,Bachelor,2011-02-02,Employed,M,70174,Rural,Married,64,15,80,0,7,Personal Auto,Personal L2,Offer1,Agent,128,Four-Door Car,Medsize,A,2
YK32760,Oregon,2502,No,Basic,High School or Below,2011-02-15,Unemployed,M,0,Suburban,Divorced,74,26,95,1,1,Corporate Auto,Corporate L1,Offer1,Agent,355,Four-Door Car,Medsize,A,2
AY59197,Nevada,9521,No,Extended,College,2011-01-24,Employed,M,27769,Rural,Married,121,24,78,0,6,Special Auto,Special L3,Offer4,Agent,123,SUV,Small,A,1
XF15789,Arizona,8869,No,Basic,College,2011-02-21,Employed,F,81350,Rural,Married,110,1,28,0,9,Personal Auto,Personal L3,Offer3,Branch,228,SUV,Large,A,2
MQ68407,Oregon,4376,Yes,Premium,Bachelor,2011-02-28,Employed,F,63774,Rural,Divorced,111,18,63,0,1,Personal Auto,Personal L3,Offer2,Agent,60,Four-Door Car,Medsize,A,2
CI99444,Nevada,2926,No,Basic,College,2011-02-22,Employed,F,92381,Urban,Married,72,24,27,0,1,Special Auto,Special L2,Offer2,Call Center,234,Four-Door Car,Medsize,A,2
BD70337,California,24706,No,Basic,High School or Below,2011-01-07,Medical Leave,M,26307,Urban,Married,73,26,1,0,2,Personal Auto,Personal L2,Offer4,Call Center,313,Four-Door Car,Medsize,A,1
GX19342,California,8491,No,Premium,High School or Below,2011-01-28,Unemployed,F,0,Suburban,Single,116,3,97,0,3,Personal Auto,Personal L3,Offer1,Branch,1193,Four-Door Car,Large,A,1
DP19210,California,9191,No,Basic,Master,2011-02-08,Employed,F,23823,Suburban,Married,115,5,39,0,6,Corporate Auto,Corporate L2,Offer2,Branch,567,Luxury,Medsize,A,2
OJ63606,Arizona,5776,No,Premium,High School or Below,2011-01-28,Medical Leave,F,27510,Suburban,Married,159,5,28,3,1,Corporate Auto,Corporate L3,Offer1,Call Center,871,SUV,Small,A,1
OH23893,California,9115,No,Basic,Bachelor,2011-02-15,Employed,F,69588,Rural,Married,114,19,45,0,6,Personal Auto,Personal L1,Offer1,Branch,173,SUV,Medsize,A,2
RI76930,California,4163,No,Basic,College,2011-02-12,Employed,F,43276,Suburban,Married,104,16,11,0,1,Personal Auto,Personal L3,Offer2,Call Center,499,SUV,Large,A,2
YK26558,California,5264,No,Basic,College,2011-02-20,Unemployed,F,0,Rural,Divorced,72,30,26,0,8,Special Auto,Special L3,Offer1,Branch,135,Four-Door Car,Medsize,A,2
OE15005,California,3945,No,Basic,College,2011-01-05,Medical Leave,M,28855,Suburban,Married,101,12,59,0,1,Personal Auto,Personal L2,Offer3,Call Center,647,SUV,Medsize,A,1
RA17555,Oregon,5176,No,Basic,High School or Below,2011-02-07,Employed,M,41533,Urban,Married,65,2,46,0,9,Corporate Auto,Corporate L2,Offer3,Agent,232,Four-Door Car,Medsize,A,2
ZI34278,Arizona,4492,No,Basic,Bachelor,2011-01-28,Medical Leave,F,21137,Suburban,Single,61,29,62,1,6,Personal Auto,Personal L1,Offer2,Web,292,Four-Door Car,Medsize,A,1
XD72019,Oregon,8470,No,Extended,Bachelor,2011-02-19,Unemployed,F,0,Suburban,Single,82,1,13,0,2,Personal Auto,Personal L2,Offer2,Web,479,Four-Door Car,Large,A,2
RR93140,California,2880,No,Basic,College,2011-01-05,Employed,F,81565,Urban,Married,71,19,54,0,1,Personal Auto,Personal L2,Offer2,Branch,190,Four-Door Car,Medsize,A,1
BE25221,Arizona,6182,No,Extended,High School or Below,2011-02-07,Medical Leave,M,20072,Suburban,Married,82,35,51,0,9,Corporate Auto,Corporate L3,Offer1,Agent,473,Four-Door Car,Medsize,A,2
PV62583,Nevada,9799,No,Extended,College,2011-01-03,Medical Leave,M,22166,Suburban,Married,126,10,22,0,6,Personal Auto,Personal L3,Offer1,Web,604,SUV,Medsize,A,1
BL12371,Arizona,5790,No,Basic,Master,2011-02-03,Employed,M,84551,Rural,Divorced,72,10,82,0,5,Personal Auto,Personal L3,Offer2,Agent,28,Four-Door Car,Large,A,2
ER49844,Arizona,5041,No,Basic,College,2011-01-19,Employed,M,61972,Rural,Married,64,2,52,2,5,Personal Auto,Personal L1,Offer4,Call Center,138,Four-Door Car,Medsize,A,1
RI22468,Arizona,5745,No,Basic,Bachelor,2011-01-22,Employed,F,57740,Urban,Married,74,30,87,3,9,Personal Auto,Personal L1,Offer3,Web,269,Four-Door Car,Medsize,A,1
SY48591,Arizona,4827,No,Basic,College,2011-01-17,Unemployed,F,0,Suburban,Single,68,29,91,0,6,Personal Auto,Personal L3,Offer1,Branch,326,Four-Door Car,Medsize,A,1
PR23514,California,7664,No,Basic,College,2011-01-23,Employed,M,60184,Rural,Divorced,199,7,44,1,1,Personal Auto,Personal L3,Offer2,Web,161,Luxury,Medsize,A,1
UY32623,California,3593,No,Extended,College,2011-02-05,Disabled,F,18213,Suburban,Divorced,96,12,43,1,1,Corporate Auto,Corporate L2,Offer1,Branch,460,Four-Door Car,Large,A,2
QV30663,Nevada,9863,No,Extended,Master,2011-02-28,Employed,F,99654,Rural,Married,121,13,95,0,3,Personal Auto,Personal L3,Offer3,Call Center,272,SUV,Medsize,A,2
MS94619,California,5111,No,Basic,High School or Below,2011-02-13,Employed,F,76448,Suburban,Married,63,9,13,0,3,Personal Auto,Personal L3,Offer3,Web,302,Four-Door Car,Medsize,A,2
FT56968,Arizona,2590,No,Basic,High School or Below,2011-01-03,Employed,M,22398,Suburban,Married,67,15,76,0,1,Personal Auto,Personal L1,Offer1,Agent,321,Four-Door Car,Large,A,1
TX39594,Arizona,2452,No,Basic,High School or Below,2011-01-25,Employed,F,51085,Suburban,Married,62,4,58,1,1,Personal Auto,Personal L3,Offer3,Call Center,406,Two-Door Car,Small,A,1
GR42174,Oregon,2194,No,Basic,College,2011-01-02,Unemployed,M,0,Suburban,Single,62,11,48,0,1,Personal Auto,Personal L3,Offer4,Call Center,623,Four-Door Car,Medsize,A,1
XI79589,California,4473,No,Extended,High School or Below,2011-02-16,Unemployed,F,0,Suburban,Divorced,125,2,84,0,1,Personal Auto,Personal L1,Offer1,Branch,600,SUV,Medsize,A,2
XQ74827,Arizona,19435,No,Extended,High School or Below,2011-02-01,Employed,F,38688,Suburban,Single,249,22,6,0,3,Special Auto,Special L3,Offer1,Agent,2294,Luxury,Medsize,A,2
TW17878,Oregon,2457,No,Basic,High School or Below,2011-01-27,Employed,F,52926,Suburban,Married,61,2,92,0,1,Personal Auto,Personal L3,Offer1,Call Center,292,Four-Door Car,Medsize,A,1
GB43363,Oregon,6870,No,Premium,College,2011-01-24,Unemployed,M,0,Suburban,Single,105,5,87,0,3,Personal Auto,Personal L3,Offer1,Branch,756,Four-Door Car,Small,A,1
BR69566,California,14019,No,Basic,College,2011-02-18,Employed,M,31739,Suburban,Divorced,71,10,29,0,2,Personal Auto,Personal L3,Offer4,Call Center,469,Two-Door Car,Small,A,2
EP83939,Arizona,5575,No,Basic,High School or Below,2011-01-26,Employed,M,91416,Rural,Married,69,15,39,0,5,Personal Auto,Personal L3,Offer2,Call Center,109,Four-Door Car,Medsize,A,1
IQ95180,Oregon,5651,No,Basic,Bachelor,2011-01-19,Employed,M,44634,Suburban,Married,71,16,99,1,9,Personal Auto,Personal L3,Offer1,Branch,396,Four-Door Car,Small,A,1
JX52708,California,4556,No,Basic,Bachelor,2011-02-14,Medical Leave,M,25617,Suburban,Divorced,63,22,3,0,3,Personal Auto,Personal L3,Offer2,Call Center,302,Two-Door Car,Medsize,A,2
UF44021,California,2108,No,Basic,Bachelor,2011-01-02,Unemployed,M,0,Suburban,Single,61,8,91,0,1,Personal Auto,Personal L2,Offer1,Agent,351,Two-Door Car,Medsize,A,1
AV25133,Oregon,3095,No,Extended,College,2011-01-12,Unemployed,F,0,Suburban,Single,92,31,24,1,1,Personal Auto,Personal L3,Offer3,Web,774,Two-Door Car,Small,A,1
WL24392,Arizona,5860,No,Basic,Bachelor,2011-02-01,Employed,M,94527,Rural,Married,73,16,32,0,3,Personal Auto,Personal L1,Offer1,Agent,41,Four-Door Car,Medsize,A,2
LO57874,Oregon,2300,Yes,Basic,Bachelor,2011-01-15,Retired,M,25905,Suburban,Divorced,63,21,12,0,1,Corporate Auto,Corporate L3,Offer1,Agent,302,Four-Door Car,Large,A,1
UO54511,California,4950,No,Basic,High School or Below,2011-01-20,Employed,F,27400,Suburban,Married,63,14,78,1,9,Personal Auto,Personal L1,Offer3,Agent,302,Four-Door Car,Medsize,A,1
KR35099,Washington,7507,Yes,Basic,College,2011-02-06,Employed,M,60920,Urban,Single,64,15,61,0,2,Personal Auto,Personal L3,Offer2,Agent,231,Two-Door Car,Medsize,A,2
NY12562,Nevada,2224,No,Basic,College,2011-01-05,Unemployed,F,0,Suburban,Single,64,20,4,0,1,Corporate Auto,Corporate L2,Offer2,Branch,483,Four-Door Car,Medsize,A,1
QG27547,Oregon,2867,Yes,Extended,Bachelor,2011-01-03,Retired,F,23376,Suburban,Divorced,78,19,18,0,1,Personal Auto,Personal L3,Offer2,Call Center,374,Four-Door Car,Medsize,A,1
PH78214,Oregon,5427,No,Basic,College,2011-02-11,Medical Leave,F,27677,Suburban,Married,72,10,82,1,3,Personal Auto,Personal L3,Offer2,Agent,345,Four-Door Car,Medsize,A,2
LO37570,Arizona,12157,No,Extended,High School or Below,2011-01-07,Employed,M,40432,Suburban,Married,77,21,66,0,2,Personal Auto,Personal L3,Offer3,Agent,369,Four-Door Car,Medsize,A,1
FH81409,California,8152,No,Extended,High School or Below,2011-01-21,Unemployed,M,0,Suburban,Single,79,19,70,0,2,Personal Auto,Personal L1,Offer1,Agent,568,Four-Door Car,Small,A,1
RW65977,Arizona,2191,No,Basic,College,2011-01-29,Unemployed,M,0,Suburban,Single,61,9,16,1,1,Special Auto,Special L2,Offer1,Agent,439,Four-Door Car,Medsize,A,1
LD75023,Oregon,26346,No,Extended,High School or Below,2011-01-20,Employed,M,48268,Suburban,Divorced,223,28,26,0,2,Personal Auto,Personal L2,Offer1,Web,1605,Luxury,Medsize,A,1
OZ92426,Oregon,2364,No,Basic,College,2011-01-18,Employed,M,46264,Urban,Single,62,17,75,0,1,Corporate Auto,Corporate L1,Offer4,Branch,199,Four-Door Car,Medsize,A,1
FI17798,California,2710,No,Basic,Doctor,2011-01-11,Unemployed,M,0,Suburban,Married,71,7,87,0,1,Personal Auto,Personal L3,Offer1,Agent,340,Four-Door Car,Small,A,1
YC54142,Washington,74228,No,Extended,High School or Below,2011-01-26,Unemployed,M,0,Suburban,Single,242,1,34,0,2,Personal Auto,Personal L1,Offer1,Branch,1742,Luxury,Medsize,A,1
LN28900,California,14687,No,Extended,Bachelor,2011-02-23,Unemployed,M,0,Suburban,Single,85,3,61,0,2,Personal Auto,Personal L1,Offer1,Web,612,Four-Door Car,Small,A,2
SX63814,Arizona,9312,No,Premium,High School or Below,2011-02-13,Employed,M,75986,Rural,Married,115,11,44,0,3,Personal Auto,Personal L3,Offer3,Call Center,89,Four-Door Car,Medsize,A,2
VM85555,California,7750,No,Basic,College,2011-02-23,Employed,F,22668,Rural,Single,67,5,34,1,2,Personal Auto,Personal L2,Offer3,Branch,33,Four-Door Car,Medsize,A,2
RO18530,Washington,2540,No,Basic,Master,2011-02-28,Employed,M,42557,Rural,Single,65,4,35,0,1,Personal Auto,Personal L3,Offer4,Agent,57,Four-Door Car,Large,A,2
FR48094,Arizona,2456,No,Basic,High School or Below,2011-02-15,Unemployed,M,0,Suburban,Single,73,15,59,0,1,Personal Auto,Personal L3,Offer4,Branch,525,Four-Door Car,Small,A,2
DY27653,Oregon,3755,No,Extended,High School or Below,2011-01-04,Employed,F,56178,Suburban,Married,94,1,39,0,1,Personal Auto,Personal L3,Offer2,Branch,451,Four-Door Car,Medsize,A,1
OH69760,Arizona,5181,No,Basic,College,2011-02-02,Unemployed,F,0,Suburban,Married,70,15,64,0,7,Personal Auto,Personal L1,Offer1,Branch,336,Four-Door Car,Large,A,2
CH50584,Oregon,32474,No,Basic,High School or Below,2011-01-22,Employed,M,71449,Suburban,Divorced,102,17,7,0,2,Personal Auto,Personal L3,Offer4,Call Center,734,SUV,Small,A,1
WM19996,California,8349,No,Basic,Bachelor,2011-01-09,Employed,M,45428,Urban,Divorced,109,15,46,0,3,Corporate Auto,Corporate L3,Offer1,Call Center,487,SUV,Medsize,A,1
ZH92587,Oregon,8126,No,Basic,College,2011-02-22,Disabled,F,14616,Suburban,Married,107,15,73,0,3,Personal Auto,Personal L3,Offer1,Agent,513,Four-Door Car,Medsize,A,2
CJ51511,Arizona,13466,Yes,Basic,High School or Below,2011-02-23,Disabled,F,11432,Suburban,Married,119,15,9,0,2,Corporate Auto,Corporate L3,Offer2,Agent,571,Four-Door Car,Medsize,A,2
ME37450,Arizona,5210,No,Basic,Bachelor,2011-01-04,Employed,M,89781,Rural,Single,66,7,89,0,5,Special Auto,Special L2,Offer1,Agent,37,Four-Door Car,Medsize,A,1
KO86181,Oregon,6941,No,Basic,College,2011-02-11,Unemployed,F,0,Suburban,Single,111,3,73,3,6,Personal Auto,Personal L3,Offer1,Agent,532,SUV,Small,A,2
KD63933,California,7048,No,Basic,College,2011-02-19,Medical Leave,M,24030,Suburban,Single,194,14,0,0,1,Personal Auto,Personal L1,Offer1,Agent,970,Luxury,Medsize,A,2
CM66204,Arizona,26770,No,Basic,College,2011-01-23,Employed,F,26335,Urban,Married,113,32,7,1,2,Personal Auto,Personal L2,Offer1,Call Center,355,SUV,Large,A,1
NV13794,Nevada,9549,No,Basic,High School or Below,2011-02-09,Employed,F,55986,Urban,Married,119,3,60,0,9,Personal Auto,Personal L1,Offer1,Agent,388,SUV,Small,A,2
HF75891,Washington,4331,No,Basic,High School or Below,2011-02-11,Employed,F,82302,Suburban,Married,106,11,92,0,1,Personal Auto,Personal L2,Offer1,Branch,722,SUV,Medsize,A,2
NB81923,Washington,7294,No,Basic,College,2011-02-24,Unemployed,F,0,Suburban,Single,113,12,66,2,7,Personal Auto,Personal L3,Offer1,Call Center,733,Luxury,Medsize,A,2
AV96010,Oregon,3289,No,Extended,College,2011-01-29,Employed,M,40097,Rural,Single,92,23,35,4,1,Personal Auto,Personal L2,Offer1,Call Center,227,Two-Door Car,Medsize,A,1
CA22248,Oregon,2505,No,Basic,Master,2011-02-14,Employed,F,60546,Rural,Single,63,21,71,0,1,Personal Auto,Personal L3,Offer2,Branch,46,Four-Door Car,Medsize,A,2
PK23339,Arizona,3417,No,Extended,High School or Below,2011-01-25,Employed,F,72460,Urban,Married,85,9,76,0,1,Personal Auto,Personal L2,Offer2,Call Center,370,Four-Door Car,Medsize,A,1
JY66887,California,16320,No,Extended,High School or Below,2011-02-27,Unemployed,F,0,Suburban,Single,247,5,12,3,5,Personal Auto,Personal L2,Offer2,Branch,1778,Luxury,Medsize,A,2
NH16984,California,2838,No,Extended,Bachelor,2011-02-07,Unemployed,F,0,Urban,Divorced,80,30,8,0,1,Personal Auto,Personal L1,Offer1,Web,336,Four-Door Car,Medsize,A,2
UV12583,California,4700,No,Basic,College,2011-02-18,Employed,F,76694,Suburban,Married,117,34,23,0,1,Personal Auto,Personal L1,Offer4,Agent,561,SUV,Medsize,A,2
VG56765,Arizona,2471,Yes,Basic,High School or Below,2011-01-15,Employed,M,95697,Rural,Married,61,16,55,0,1,Personal Auto,Personal L2,Offer2,Agent,114,Two-Door Car,Medsize,A,1
AK11669,Arizona,10130,No,Extended,Doctor,2011-01-17,Employed,F,59232,Suburban,Divorced,85,6,75,0,2,Corporate Auto,Corporate L3,Offer3,Branch,408,Two-Door Car,Medsize,A,1
SZ60450,California,3419,No,Extended,High School or Below,2011-02-13,Employed,M,40272,Rural,Married,86,8,64,0,1,Personal Auto,Personal L3,Offer3,Agent,23,Two-Door Car,Medsize,A,2
MS87381,California,23866,No,Extended,High School or Below,2011-02-14,Unemployed,F,0,Suburban,Married,81,27,93,1,2,Personal Auto,Personal L2,Offer3,Branch,388,Four-Door Car,Medsize,A,2
LP47259,Arizona,8324,No,Extended,High School or Below,2011-01-01,Unemployed,M,0,Suburban,Single,121,15,92,0,5,Corporate Auto,Corporate L3,Offer2,Branch,871,Luxury,Medsize,A,1
No31089,Arizona,3179,No,Extended,Bachelor,2011-01-21,Employed,F,65742,Urban,Married,79,6,0,0,1,Personal Auto,Personal L3,Offer2,Call Center,277,Four-Door Car,Medsize,A,1
SD83603,Oregon,6672,No,Extended,College,2011-02-13,Employed,F,56830,Urban,Married,83,15,27,0,9,Personal Auto,Personal L1,Offer2,Agent,319,Two-Door Car,Medsize,A,2
TK65222,California,16407,No,Premium,Bachelor,2011-01-12,Employed,M,22103,Rural,Single,109,16,31,0,2,Personal Auto,Personal L2,Offer1,Agent,160,Four-Door Car,Large,A,1
HB48073,Arizona,9371,No,Basic,Bachelor,2011-02-01,Employed,F,66325,Urban,Married,117,10,10,0,5,Corporate Auto,Corporate L2,Offer1,Agent,497,SUV,Medsize,A,2
DO60145,Arizona,4270,Yes,Extended,College,2011-01-19,Unemployed,M,0,Suburban,Married,122,27,2,0,1,Personal Auto,Personal L3,Offer2,Agent,725,SUV,Medsize,A,1
BA40043,California,5799,No,Basic,College,2011-01-03,Employed,M,60689,Rural,Single,74,29,67,0,7,Corporate Auto,Corporate L2,Offer2,Branch,5,Four-Door Car,Medsize,A,1
EC28398,Oregon,5096,Yes,Basic,Master,2011-01-28,Disabled,F,22886,Suburban,Divorced,65,9,81,0,3,Corporate Auto,Corporate L2,Offer1,Agent,312,Four-Door Car,Small,A,1
FE99816,Nevada,15563,No,Premium,Bachelor,2011-01-19,Unemployed,F,0,Suburban,Married,253,15,40,5,7,Personal Auto,Personal L1,Offer3,Web,1214,Luxury,Medsize,A,1
HS39343,Washington,7475,No,Basic,Bachelor,2011-01-26,Disabled,F,29633,Urban,Married,196,26,57,0,1,Corporate Auto,Corporate L3,Offer1,Agent,534,Luxury,Medsize,A,1
GL44478,Oregon,9986,No,Extended,High School or Below,2011-01-22,Disabled,M,24067,Suburban,Single,132,12,2,0,6,Corporate Auto,Corporate L3,Offer2,Branch,633,Luxury,Medsize,A,1
EF84269,California,5568,No,Extended,College,2011-02-21,Employed,F,51489,Rural,Married,139,14,10,0,1,Personal Auto,Personal L2,Offer1,Web,236,SUV,Medsize,A,2
RD22761,Washington,20579,No,Basic,Bachelor,2011-01-16,Unemployed,M,0,Suburban,Single,69,5,26,0,2,Personal Auto,Personal L3,Offer3,Call Center,566,Four-Door Car,Medsize,A,1
DO41287,Oregon,8276,No,Extended,High School or Below,2011-02-18,Unemployed,M,0,Suburban,Single,82,29,92,0,2,Personal Auto,Personal L2,Offer3,Branch,590,Four-Door Car,Medsize,A,2
OO89057,California,4014,No,Extended,Master,2011-02-17,Employed,F,54054,Rural,Married,99,7,55,0,1,Personal Auto,Personal L2,Offer2,Branch,5,Four-Door Car,Medsize,A,2
DQ92905,Arizona,12989,No,Basic,Bachelor,2011-02-24,Unemployed,M,0,Suburban,Single,65,16,3,0,2,Personal Auto,Personal L3,Offer1,Web,312,Four-Door Car,Medsize,A,2
EW33419,California,15114,Yes,Basic,High School or Below,2011-01-19,Medical Leave,F,28513,Suburban,Married,100,4,22,1,2,Corporate Auto,Corporate L2,Offer2,Call Center,480,SUV,Medsize,A,1
KH16079,Washington,4709,No,Basic,High School or Below,2011-02-12,Unemployed,F,0,Suburban,Single,66,17,29,0,3,Personal Auto,Personal L1,Offer1,Agent,470,Four-Door Car,Small,A,2
GU99037,Oregon,2452,No,Basic,College,2011-02-14,Employed,M,79898,Urban,Married,62,5,86,1,1,Corporate Auto,Corporate L1,Offer4,Agent,271,Four-Door Car,Medsize,A,2
BM92346,California,3919,Yes,Extended,High School or Below,2011-01-05,Employed,F,66676,Suburban,Married,97,0,40,0,1,Personal Auto,Personal L1,Offer3,Agent,558,Four-Door Car,Small,A,1
TE60343,California,4716,No,Basic,High School or Below,2011-02-25,Employed,M,25746,Suburban,Married,61,0,84,1,3,Corporate Auto,Corporate L3,Offer2,Agent,292,Four-Door Car,Medsize,A,2
RU75949,Oregon,12332,No,Basic,College,2011-02-28,Employed,M,85789,Rural,Married,105,18,54,2,2,Personal Auto,Personal L1,Offer1,Agent,122,Luxury,Medsize,A,2
PP35705,California,35862,No,Extended,High School or Below,2011-02-26,Medical Leave,M,26376,Suburban,Divorced,121,7,19,0,2,Personal Auto,Personal L3,Offer1,Agent,580,SUV,Small,A,2
ZM45168,Oregon,2398,No,Basic,College,2011-02-14,Disabled,M,14321,Suburban,Single,65,20,72,0,1,Personal Auto,Personal L2,Offer1,Branch,423,Four-Door Car,Medsize,A,2
SH93005,California,6005,Yes,Extended,College,2011-02-23,Retired,M,13528,Suburban,Single,86,21,35,0,3,Personal Auto,Personal L3,Offer1,Agent,412,Four-Door Car,Medsize,A,2
QK24293,California,6265,No,Extended,Doctor,2011-01-13,Unemployed,F,0,Suburban,Married,84,18,25,1,4,Corporate Auto,Corporate L1,Offer1,Agent,481,Four-Door Car,Medsize,A,1
CJ72056,California,8013,No,Basic,Bachelor,2011-01-17,Employed,M,65636,Suburban,Married,67,15,72,0,2,Personal Auto,Personal L2,Offer2,Call Center,321,Four-Door Car,Medsize,A,1
ZY20779,Washington,4979,No,Basic,High School or Below,2011-01-29,Unemployed,M,0,Suburban,Single,71,17,57,0,5,Personal Auto,Personal L1,Offer2,Agent,340,Two-Door Car,Medsize,A,1
BP28492,Arizona,4834,Yes,Basic,College,2011-01-31,Employed,F,38713,Suburban,Divorced,66,31,69,4,6,Corporate Auto,Corporate L3,Offer2,Call Center,316,Four-Door Car,Medsize,A,1
AN67558,Nevada,3288,No,Basic,College,2011-01-16,Unemployed,M,0,Suburban,Single,102,16,1,1,1,Personal Auto,Personal L3,Offer1,Call Center,734,SUV,Large,A,1
ZJ90079,Arizona,5525,No,Basic,College,2011-02-01,Employed,F,64816,Suburban,Married,69,30,33,0,7,Corporate Auto,Corporate L2,Offer3,Agent,331,Four-Door Car,Small,A,2
GS85403,Washington,9031,Yes,Extended,Master,2011-02-23,Unemployed,F,0,Suburban,Single,122,15,47,0,9,Corporate Auto,Corporate L2,Offer1,Branch,650,Luxury,Medsize,A,2
SK95364,California,4620,No,Extended,College,2011-02-26,Unemployed,F,0,Suburban,Single,130,11,0,0,1,Personal Auto,Personal L2,Offer3,Agent,936,SUV,Medsize,A,2
UI80897,Washington,5552,No,Basic,High School or Below,2011-02-27,Employed,M,50470,Suburban,Divorced,71,1,87,0,8,Corporate Auto,Corporate L2,Offer4,Call Center,377,Two-Door Car,Large,A,2
OJ65428,Nevada,3842,No,Premium,College,2011-01-19,Disabled,M,27906,Suburban,Divorced,102,5,57,0,1,Personal Auto,Personal L3,Offer2,Call Center,489,Four-Door Car,Medsize,A,1
